Date/Time,Word Count,en,fr
2024.12.13-14.55.43,103,103,0
2024.12.13-15.03.20,103,103,19
2024.12.13-19.46.06,103,103,29
2024.12.13-19.49.55,103,103,21
2024.12.13-19.55.22,98,98,15
2024.12.13-19.56.12,98,98,20
2024.12.13-20.00.41,103,103,19
2024.12.13-20.03.02,103,103,18
2024.12.13-20.04.12,103,103,21
2024.12.14-17.33.38,110,110,21
2024.12.14-17.35.10,110,110,23
2024.12.14-17.36.44,110,110,24
2024.12.14-17.41.15,110,110,21
2024.12.14-17.41.53,27,27,8
2024.12.14-17.42.51,27,27,11
2024.12.16-00.03.04,93,93,7
2024.12.16-00.08.21,93,93,75
